StorageID,BoxIDValue,CellIDValue
"1","1","A1"
"2","1","A2"
"3","1","A3"
"4","1","A4"
"5","1","A5"
"6","1","A6"
"7","1","A7"
"8","1","A8"
"9","1","A9"
"10","1","B1"
"11","1","B2"
"12","1","B3"
"13","1","B4"
"14","1","B5"
"15","1","B6"
"16","1","B7"
"17","1","B8"
"18","1","B9"
"19","1","C1"
"20","1","C2"
"21","1","C3"
"22","1","C4"
"23","1","C5"
"24","1","C6"
"25","1","C7"
"26","1","C8"
"27","1","C9"
"28","1","D1"
"29","1","D2"
"30","1","D3"
"31","1","D4"
"32","1","D5"
"33","1","D6"
"34","1","D7"
"35","1","D8"
"36","1","D9"
"37","1","E1"
"38","1","E2"
"39","1","E3"
"40","1","E4"
"41","1","E5"
"42","1","E6"
"43","1","E7"
"44","1","E8"
"45","1","E9"
"46","1","F1"
"47","1","F2"
"48","1","F3"
"49","1","F4"
"50","1","F5"
"51","1","F6"
"52","1","F7"
"53","1","F8"
"54","1","F9"
"55","1","G1"
"56","1","G2"
"57","1","G3"
"58","1","G4"
"59","1","G5"
"60","1","G6"
"61","1","G7"
"62","1","G8"
"63","1","G9"
"64","1","H3"
"65","1","H4"
"66","1","H2"
"67","1","H5"
"68","1","H6"
"69","1","H7"
"70","1","H8"
"71","1","H9"
"72","1","I1"
"73","1","I2"
"74","1","I3"
"75","1","I4"
"76","1","I5"
"77","1","I6"
"78","1","I7"
"79","1","I8"
"80","1","I9"
"81","2","A1"
"82","2","A2"
"83","2","A3"
"84","2","A4"
"85","2","A5"
"86","2","A6"
"87","2","A7"
"88","2","A8"
"89","2","A9"
"90","2","B1"
"91","2","B2"
"92","2","B3"
"93","2","B4"
"94","2","B5"
"95","2","B6"
"96","2","B7"
"97","2","B8"
"98","2","B9"
"99","2","C1"
"100","2","C2"
"101","2","C3"
"102","2","C4"
"103","2","C5"
"104","2","C6"
"105","2","C7"
"106","2","C8"
"107","2","C9"
"108","2","D1"
"109","2","D2"
"110","2","D3"
"111","2","D4"
"112","2","D5"
"113","2","D6"
"114","2","D7"
"115","2","D8"
"116","2","D9"
"117","2","E1"
"118","2","E2"
"119","2","E3"
"120","2","E4"
"121","2","E5"
"122","2","E6"
"123","2","E7"
"124","2","E8"
