StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"1","IB2014А01-2","Streptomyces sp.","Streptomyces sp.  IB2014А01-2","Streptomyces sp.  IB2014А01-2",""
"2","IB2014А02-2","Pseudonocardia sp.","Pseudonocardia sp.  IB2014А02-2","Pseudonocardia sp.  IB2014А02-2","RCAM03474"
"3","IB2014А02-2","Pseudonocardia sp.","Pseudonocardia sp.  IB2014А02-3","Pseudonocardia sp.  IB2014А02-3","RCAM03474"
"4","IB2014А08-1","Micromonospora sp.","Micromonospora sp. IB2014А08-1","Micromonospora sp. IB2014А08-1","RCAM03473"
"5","IB2014А010-1","Streptomyces sp.","Streptomyces sp. IB2014А010-1","Streptomyces sp. IB2014А010-1","RCAM03463"
"6","IB2014А010-2","Streptomyces sp.","Streptomyces sp.  IB2014А010-2","Streptomyces sp.  IB2014А010-2",""
"7","IB2014А010-3","Streptomyces sp.","Streptomyces sp. IB2014А010-3","Streptomyces sp. IB2014А010-3",""
"8","IB2014А 011-1","Streptomyces sp.","Streptomyces sp.  IB2014А011-1","Streptomyces sp.  IB2014А011-1","RCAM03464"
"9","IB2014А 011-2","Streptomyces sp.","Streptomyces sp.  IB2014А011-2","Streptomyces sp.  IB2014А011-2",""
"10","IB2014А 011-3","Streptomyces sp.","Streptomyces sp.  IB2014А011-3","Streptomyces sp.  IB2014А011-3",""
"11","IB2014А 011-6","Streptomyces sp.","Streptomyces sp.  IB2014А011-6","Streptomyces sp.  IB2014А011-6",""
"12","IB2014А 011-7","Nocardia sp.","Nocardia sp. IB2014А011-7","Nocardia sp. IB2014А011-7",""
"13","IB2014А 011-9","Nocardia sp.","Nocardia sp. IB2014А011-8","Nocardia sp. IB2014А011-8","RCAM03476"
"14","IB2014А 011-10","Streptomyces sp.","Streptomyces sp.  IB2014А011-10","Streptomyces sp.  IB2014А011-10",""
"15","IB2014А011-11","Agromyces sp.","Agromyces sp.  IB2014А011-11","Agromyces sp.  IB2014А011-11","RCAM03465"
"16","IB2014А011-12","Streptomyces sp.","Streptomyces sp.  IB2014А011-12","Streptomyces sp.  IB2014А011-12",""
"17","IB2014А011-13","Streptomyces sp.","Streptomyces sp.  IB2014А011-13","Streptomyces sp.  IB2014А011-13",""
"18","IB2014А014-5","Nocardia sp.","Nocardia sp. IB2014А014-5","Nocardia sp. IB2014А014-5","RCAM03466"
"19","IB2014А 016-1","Streptomyces sp.","Streptomyces sp.  IB2014А016-1","Streptomyces sp.  IB2014А016-1",""
"20","IB2014А 016-2","Streptomyces sp.","Streptomyces sp.  IB2014А016-2","Streptomyces sp.  IB2014А016-2","RCAM04092"
"21","IB2014А 016-5","Streptomyces sp.","Streptomyces sp.  IB2014А016-5","Streptomyces sp.  IB2014А016-5",""
"22","IB2014А 016-6","Streptomyces sp.","Streptomyces sp.  IB2014А016-6","Streptomyces sp.  IB2014А016-6","RCAM03467"
"23","IB2014А 016-9","Aeromicrobium sp.","Aeromicrobium sp.  IB2014А016-9","Aeromicrobium sp.  IB2014А016-9","RCAM03468"
"24","IB2014А 017-1","Nocardia sp.","Nocardia sp. IB2014А017-1","Nocardia sp. IB2014А017-1",""
"25","IB2014А 017-3","Nocardia sp.","Nocardia sp. IB2014А017-3","Nocardia sp. IB2014А017-3","RCAM03469"
"26","IB2014А 017-6","Nocardia sp.","Nocardia sp. IB2014А017-6","Nocardia sp. IB2014А017-6",""
